they their media news democrats -> fake: 1.0
have their -> media news democrats fake: 0.16600790513833993
they with that media -> news fake: 0.9464285714285714
they with that -> media news fake: 0.22083333333333333
they with that media news -> fake: 1.0
they their -> media news democrats fake: 0.11546840958605664
have they that media news -> fake: 1.0
have they that media -> news fake: 0.9444444444444444
they their media -> news democrats fake: 0.4732142857142857
they their media news -> democrats fake: 0.6022727272727273
have their media news democrats -> fake: 1.0
have their media -> news democrats fake: 0.6461538461538462
have they that -> media news fake: 0.18681318681318682
have their media news -> democrats fake: 0.84
